headwater_id,downstream_id,drainage_ratio,dist,hw_order,ds_order,connection_id,start_hw,end_hw,n_hw,start_ds,end_ds,n_ds,n_rat,start_hw_hw,end_hw_hw,n_hw_hw,start_ds_ds,end_ds_ds,n_ds_ds
01350180,01350355,0.80626087,12.239,3,4,43,10/1/1981,9/30/2023,15203,10/1/1981,9/30/2023,15340,0.9910691003911343,10/1/1981,9/30/2023,15203,10/1/1981,9/30/2023,15340
01350180,01351500,0.404061533,58.926,3,5,44,10/1/1981,9/30/2023,15203,10/1/1981,9/30/2023,15340,0.9910691003911343,10/1/1981,9/30/2023,15203,10/1/1981,9/30/2023,15340
01350180,01357500,0.103765878,153.369,3,7,45,10/1/1981,9/30/2023,15203,10/1/1981,9/30/2023,15340,0.9910691003911343,10/1/1981,9/30/2023,15203,10/1/1981,9/30/2023,15340
01362200,01362500,0.331791675,19.462,2,3,46,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01365000,01367500,0.1,66.541,2,4,47,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01381500,01381900,0.084190729,19.079,3,5,49,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,14688,0.957496741,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,14688
01387450,01387500,0.102638353,8.368,3,4,50,10/1/1981,9/30/2023,11688,10/1/1981,9/30/2023,15340,0.7619295958279009,10/1/1981,9/30/2023,11688,10/1/1981,9/30/2023,15340
01387450,01388000,0.076978764,28.799,3,4,51,10/1/1981,9/30/2023,11688,10/1/1981,9/30/2023,15340,0.7619295958279009,10/1/1981,9/30/2023,11688,10/1/1981,9/30/2023,15340
01390500,01391500,0.39533239,16.076,3,3,52,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01391000,01391500,0.300565771,16.85,3,3,53,10/1/1981,9/30/2023,12069,10/1/1981,9/30/2023,15340,0.7867666232073012,10/1/1981,9/30/2023,12069,10/1/1981,9/30/2023,15340
01394500,01395000,0.623229462,14.318,3,3,54,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01396500,01403060,0.083173479,60.86,3,6,55,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01396500,01397000,0.44418177,18.735,3,5,56,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01396500,01400500,0.133244031,57.116,3,5,57,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01396582,01397000,0.083793013,18.594,1,5,58,10/1/1981,9/30/2023,14205,10/1/1981,9/30/2023,15340,0.9260104302477183,10/1/1981,9/30/2023,14205,10/1/1981,9/30/2023,15340
01396660,01397000,0.080378251,17.917,3,5,59,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01398000,01400500,0.052478134,33.33,3,5,60,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01398500,01400000,0.137980085,23.631,3,4,61,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01398500,01400500,0.053502482,35.501,3,5,62,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01399500,01400000,0.17272912,27.925,2,4,63,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01399500,01400500,0.066976598,39.795,2,5,64,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01401000,01403060,0.056711426,37.34,3,6,65,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01401000,01402000,0.172553128,25.728,3,5,66,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
